BLDG_PUBID,BLDG_TYP,BLDG_US,BLDG_LOC_REGION,BLDG_NEW_REN,$BLDG_AREA_M2,$BLDG_AREA_FT2,BLDG_STOR_A,$BLDG_STOR_A,LCA_YEAR,LCA_REFPERIOD,LCA_SOUR_CODE,LCA_STAGES,LCA_BLDG_SCOPE,LCA_MAT_Q,EC_WB_EX_OPER,EC_LCAA_PERM2,Average_Area_m2,Average_Storey
A02,Commercial,Education,North America,New,18581 to 46451,"200,001 to 500,000",0,1 to 6,2013,50,14,A,SF,Y,18219.27,598,35000,4
A02,Commercial,Mixed,Middle East,New,46452 to 92903,"500,001 to 1 million",0,More than 25,2014,50,14,A,SF,Y,33832.59,597,70000,35
A02,Commercial,Public Assembly,North America,New,2324 to 4645,"25,001 to 50,000",0,1 to 6,2013,50,14,A,SF,Y,2548.85,594,3500,4
A02,Commercial,Mixed,North America,New,18581 to 46451,"200,001 to 500,000",0,7 to 14,2014,50,14,A,SF,Y,18674.77,594,35000,11
A02,Commercial,Education,North America,New,930 to 2323,"10,001 to 25,000",0,1 to 6,2013,50,14,A,SF,Y,1320.5,583,1600,4
A02,Commercial,Education,North America,New,4646 to 9290,"50,001 to 100,000",0,1 to 6,2013,50,14,A,SF,Y,2764.98,577,7000,4
A02,Commercial,Education,North America,New,4646 to 9290,"50,001 to 100,000",0,1 to 6,2013,50,14,A,SF,Y,3130.56,576,7000,4
A02,Commercial,Public Assembly,Middle East,New,9291 to 18580,"100,001 to 200,000",0,1 to 6,2013,50,14,A,SF,Y,7980,570,14000,4
A02,Commercial,Health Care,North America,New,Over 92903,Over 1 million,0,15 to 25,2014,50,14,A,SF,Y,59764.2,562,120000,20
A02,Commercial,Public Assembly,North America,New,46452 to 92903,"500,001 to 1 million",0,7 to 14,2013,50,14,A,SF,Y,26119.6,561,70000,11
A02,Commercial,Public Assembly,Middle East,New,2324 to 4645,"25,001 to 50,000",0,1 to 6,2013,50,14,A,SF,Y,2235.84,544,3500,4
A02,Commercial,Other,North America,New,466 to 929,"5,001 to 10,000",0,1 to 6,2014,50,14,A,SF,Y,428.18,542,700,4
A02,Commercial,Other,Asia-Pacific,New,46452 to 92903,"500,001 to 1 million",0,7 to 14,2013,50,14,A,SF,Y,31809.5,535,70000,11
A02,Commercial,Lodging,North America,New,930 to 2323,"10,001 to 25,000",0,1 to 6,2013,50,14,A,SF,Y,617.21,533,1600,4
A02,Commercial,Health Care,North America,New,46452 to 92903,"500,001 to 1 million",0,15 to 25,2014,50,14,A,SF,Y,35196.66,533,70000,20
A02,Commercial,Mixed,North America,New,466 to 929,"5,001 to 10,000",0,1 to 6,2014,50,14,A,SF,Y,296.32,532,700,4
A02,Commercial,Other,North America,New,4646 to 9290,"50,001 to 100,000",0,1 to 6,2014,50,14,A,SF,Y,3086.19,529,7000,4
A02,Residential,Other,Europe,New,18581 to 46451,"200,001 to 500,000",0,7 to 14,2013,50,14,A,SF,Y,13221.65,528,35000,11
A02,Commercial,Other,North America,New,9291 to 18580,"100,001 to 200,000",0,1 to 6,2013,50,14,A,SF,Y,5448.44,516,14000,4
A02,Commercial,Education,North America,New,930 to 2323,"10,001 to 25,000",0,1 to 6,2013,50,14,A,SF,Y,575.26,515,1600,4
A02,Commercial,Education,North America,New,9291 to 18580,"100,001 to 200,000",0,1 to 6,2014,50,14,A,SF,Y,4838.37,510,14000,4
A02,Commercial,Education,North America,New,4646 to 9290,"50,001 to 100,000",0,1 to 6,2013,50,14,A,SF,Y,2567.91,509,7000,4
A02,Commercial,Health Care,Africa,New,46452 to 92903,"500,001 to 1 million",0,7 to 14,2014,50,14,A,SF,Y,31408.12,508,70000,11
A02,Commercial,Public Assembly,North America,New,18581 to 46451,"200,001 to 500,000",0,1 to 6,2013,50,14,A,SF,Y,10613.54,507,35000,4
A02,Commercial,Education,North America,New,4646 to 9290,"50,001 to 100,000",0,1 to 6,2013,50,14,A,SF,Y,3944.21,487,7000,4
A02,Commercial,Health Care,North America,New,930 to 2323,"10,001 to 25,000",0,1 to 6,2013,50,14,A,SF,Y,1063.61,485,1600,4
A02,Commercial,Other,North America,New,4646 to 9290,"50,001 to 100,000",0,1 to 6,2014,50,14,A,SF,Y,2484,480,7000,4
A02,Commercial,Other,North America,New,18581 to 46451,"200,001 to 500,000",0,7 to 14,2014,50,14,A,SF,Y,12372.48,480,35000,11
A02,Commercial,Public Assembly,North America,New,930 to 2323,"10,001 to 25,000",0,1 to 6,2014,50,14,A,SF,Y,812.12,478,1600,4
A02,Residential,Other,North America,New,18581 to 46451,"200,001 to 500,000",0,7 to 14,2013,50,14,A,SF,Y,14430.5,459,35000,11
A02,Commercial,Education,North America,New,4646 to 9290,"50,001 to 100,000",0,1 to 6,2015,50,14,A,SF,Y,3763.37,456,7000,4
A02,Commercial,Public Assembly,Middle East,New,18581 to 46451,"200,001 to 500,000",0,15 to 25,2014,50,14,A,SF,Y,8515.04,453,35000,20
A02,Commercial,Education,North America,New,18581 to 46451,"200,001 to 500,000",0,7 to 14,2013,50,14,A,SF,Y,8744.28,446,35000,11
A02,Commercial,Education,North America,New,2324 to 4645,"25,001 to 50,000",0,1 to 6,2013,50,14,A,SF,Y,1922.4,445,3500,4
A02,Residential,Other,North America,New,930 to 2323,"10,001 to 25,000",0,1 to 6,2014,50,14,A,SF,Y,666.44,444,1600,4
A02,Commercial,Other,Asia-Pacific,New,Over 92903,Over 1 million,0,More than 25,2013,50,14,A,SF,Y,87313.12,442,120000,35
A02,Commercial,Public Assembly,North America,New,9291 to 18580,"100,001 to 200,000",0,1 to 6,2014,50,14,A,SF,Y,5109.72,440,14000,4
A02,Commercial,Public Assembly,North America,New,46452 to 92903,"500,001 to 1 million",0,7 to 14,2013,50,14,A,SF,Y,20392.84,438,70000,11
A02,Commercial,Mercantile,,New,94 to 465,"1,001 to 5,000",0,More than 25,2015,50,14,A,SF,Y,73.85,437,250,35
A02,Residential,Other,Europe,New,18581 to 46451,"200,001 to 500,000",0,7 to 14,2015,50,14,A,SF,Y,11792.01,437,35000,11
A02,Commercial,Office,North America,New,18581 to 46451,"200,001 to 500,000",0,15 to 25,2014,50,14,A,SF,Y,8192.44,436,35000,20
A02,Commercial,Public Assembly,North America,New,9291 to 18580,"100,001 to 200,000",0,1 to 6,2015,50,14,A,SF,Y,5051.66,435,14000,4
A02,Commercial,Public Assembly,Middle East,New,46452 to 92903,"500,001 to 1 million",0,More than 25,2013,50,14,A,SF,Y,25302.36,433,70000,35
A02,Commercial,Health Care,North America,New,46452 to 92903,"500,001 to 1 million",0,More than 25,2013,50,14,A,SF,Y,39643.07,428,70000,35
A02,Commercial,Public Assembly,North America,New,9291 to 18580,"100,001 to 200,000",0,1 to 6,2013,50,14,A,SF,Y,6498.25,425,14000,4
A02,Residential,Other,Asia-Pacific,New,46452 to 92903,"500,001 to 1 million",0,More than 25,2013,50,14,A,SF,Y,32698.88,424,70000,35
A02,Commercial,Education,North America,New,2324 to 4645,"25,001 to 50,000",0,1 to 6,2013,50,14,A,SF,Y,1007,424,3500,4
A02,Commercial,Other,Europe,New,2324 to 4645,"25,001 to 50,000",0,1 to 6,2015,50,14,A,SF,Y,1252.08,423,3500,4
A02,Commercial,Other,North America,New,4646 to 9290,"50,001 to 100,000",0,7 to 14,2015,50,14,A,SF,Y,2156.42,422,7000,11
